Exp,Mouse,Line,Group,Inf1,Inf2,Protein,Dpi,IFNg_serum,IgE_serum,IgG1_serum,IgG2a_serum,IL.4_serum,IL.5_serum,IL.10_serum,IFNg_Ag.MLN.stim,IFN_CD3.MLN.stim,IFN_Media.MLN.stim,IL.5_Media.MLN.stim,IL.5_Ag.MLN.stim,IL.5_CD3.MLN.stim,IL.10_Media.MLN.stim,IL.10_CD.MLN.stim,IL.10_Ag.MLN.stim,IL.17.Media.MLN.stim,IL.17_CD.MLN.stim,IL.17_Ag.MLN.stim,wean.BW,FinalBW,ADWG,ADWG.expt,ADWG.expt.diet,spleen.wt,Gut.wt,Spl_BW,Gut_BW,colon.contents,wet.carcass.wt,dry.carcass.wt,Fat_,GAPDH_qPCR.gut,Arg1_qPCR.gut,CD36_qPCR.gut,Idlr_qPCR.gut,iNOS_qPCR.gut,PPARg1.2_qPCR.gut,RELMa_qPCR.gut,Arg1_qPCR.spleen,CD36_qPCR.spleen,GAPDH_qPCR.spleen,Idlr_qPCR.spleen,iNOS_qPCR.spleen,PPARg1.2_qPCR.spleen,RELMa_qPCR.spleen,Total.worms
SB-105,40,ROH,0_1,0,1,LP,9,0,0.009,0,0,0,0,0,0,0,0,0,0,1.804,0,2.487,0,0.181,0,0,15.4,35.62,0.613,0.424,0.205,0.104,2.263,2.92,63.532,1.311,31.49,11.9,12.502,1.385,0.027,0.417,10.8,0.304,0.076,0.011,0.079,0.006,0.198,0.136,0.074,0.185,0.014,5
SB-105,41,ROH,1_1,1,1,LP,21,0,0.257,13.11433322,8.764209507,0,0,0,0,0.661,0,0,0,3.293,0.176,5.008,0.264,0,0,0,15.11,33.48,0.557,0.21,-0.03,0.123,2.146,3.662,64.089,0.17,30.36,12.3,15.581,0.001,0,0,0.003,0,0.006,0.085,0.427,0.056,0.375,0.576,0.082,0.258,0.113,1
SB-105,42,ROH,1_1,1,1,HP,21,0,0.636,13.11433322,8.07121854,0,0,0,0,2.102,0,0,0,1.5,0,0.792,0,0,0.339,0,14.61,48.55,1.028,0.919,1.204,0.145,2.719,2.987,56.012,0.18,43.48,17.6,15.541,0.004,0,0.036,0.003,0,0.034,0.105,1.19,0.074,0.389,0.929,0.172,0.565,0.117,0
SB-105,43,ROL,1_1,1,1,HP,9,0,0.183,8.07121854,5.993961427,0,0,0,0,0,0,0,0,1.914,0,1.503,0,0.317,0,0,7.8,15.43,0.231,0.128,0.072,0.07,0.84,4.537,54.439,0.06,14.67,5,8.314,0.002,0,0.001,0,0,0.002,0.006,0.524,0.008,0.298,0.395,0.109,0.168,0.078,1
SB-105,45,ROL,0_1,0,1,LP,9,0,0.094,5.993961427,0,0,0,0,0,0,0,0,0,1.852,0,1.733,0.102,0.092,0,0,6.19,13.88,0.233,0.092,0.008,0.069,0.888,4.971,63.977,0.05,12.97,4.1,5.521,0.327,0.001,0,1.28,0.017,0.01,0.005,0.75,0.07,0.719,1.79,0.097,0.378,0.038,19
SB-105,49,ROL,0_0,0,0,HP,21,0,0.042,6.685860947,0,0.068,0,0,1.677,16.321,2.48,0,0,0,0,0.461,0,0,6.959,0,8.17,17.58,0.285,0.253,0.35,0.048,0.709,2.753,40.336,0.11,15.83,5.5,9.061,0.839,0,11.275,0.138,4.1,0.048,0,0.057,0.023,0.194,0.927,0.126,0.139,0.001,0
SB-105,50,ROL,1_1,1,1,LP,9,0,0.202,8.764209507,0,0.038,0,0,0,0,0,0,0,1.426,0,1.057,0,0,0,0,5.27,11.39,0.185,0.067,0.055,0.036,0.854,3.161,74.978,0.03,11.04,3.5,5.624,0.002,0,0.005,0.001,0,0.014,0.023,0.297,0.012,0.326,0.427,0.059,0.098,0.015,2
SB-105,51,ROH,0_1,0,1,LP,21,0,0.299,10.15038669,7.378383713,0,0,0,0,0,0,0,0,1.131,0,1.065,0.04,0,0,0,18.28,35.93,0.535,0.179,-0.414,0.139,2.165,3.869,60.256,0.17,33.21,13.5,15.735,0.277,0.003,0,1.605,0.027,0.017,0.02,0.004,0,0.033,0.019,0.017,0.016,0.002,102
SB-105,52,ROH,1_1,1,1,HP,21,0,0.309,11.72804491,9.457278572,0.2,0.225,0,0,0,0,0,0.183,1.433,0.023,2.425,0.356,0,0,0,15.88,56.57,1.233,1.128,1.57,0.151,2.731,2.669,48.276,0.17,51.67,24.8,24.037,0,0,0,0,0,0.019,0.024,0.317,0.043,0.331,0.247,0.081,0.298,0.046,5
SB-105,54,ROH,0_1,0,1,HP,9,0,0.047,0,0,0.008,0,0,0,0,0,0.012,0.012,1.31,1.168,4.295,0,0,1.277,0,18.94,52.35,1.012,0.867,1.129,0.174,2.39,3.324,45.654,0.13,47.34,22.2,22.791,0.228,0,0,0.589,0.004,0.008,0.002,0.195,0.024,0.137,1.007,0.061,0.115,0.004,11
